school686;	University of Idaho
school687;	Menlo College
school688;	Texas Christian University
school689;	Northwest Christian University
school690;	Concordia University Portland
school691;	Whitworth University
school692;	Evergreen State College
school693;	University of Denver
school694;	Regis University
school695;	Rocky Mountain College
school696;	Southeastern Oklahoma State University
school697;	DeVry University - Phoenix
school698;	DeVry University - Pomona
school699;	Westmont College
school700;	United States Air Force Academy
school701;	DeVry University - Irving
school702;	Oklahoma Christian University
school703;	Houston Baptist University
school704;	Texas A University - Kingsville
school705;	University of Alaska Fairbanks
school706;	California Institute of Technology
school707;	University of Utah
school708;	University of North Texas
school709;	San Francisco Conservatory of Music
school710;	University of Hawaii - West Oahu
school711;	Valley City State University
school712;	Academy of Art University
school713;	Holy Names University
school714;	University of Wyoming
school715;	Washington State University
school716;	Claremont McKenna College
school717;	Oregon Institute of Technology
school718;	Prescott College
school719;	Weber State University
school720;	Alliant International University
school721;	University of Sioux Falls
school722;	Fort Hays State University
school723;	Bethel College
school724;	St. Edward's University
school725;	Simpson University
school726;	Linfield College
school727;	Otis College of Art and Design
school728;	National American University - Rapid City
school729;	Western State Colorado University
school730;	University of California, Irvine
school731;	Rice University
school732;	Gonzaga University
school733;	University of Nevada, Las Vegas
school734;	Cogswell Polytechnical College
school735;	University of North Dakota
school736;	Thomas Aquinas College
school737;	American Jewish University
school738;	University of Science and Arts of Oklahoma
school739;	University of Texas at Arlington
school740;	Texas Lutheran University
school741;	Whitman College
school742;	University of Arizona
school743;	Southern California Institute of Architecture
school744;	Kansas State University
school745;	University of St. Mary
school746;	University of La Verne
school747;	Colorado State University
school748;	University of Oklahoma
school749;	University of Tulsa
school750;	North Dakota State University
school751;	Oklahoma City University
school752;	Point Loma Nazarene University
school753;	Loyola Marymount University
school754;	Trinity University
school755;	University of Oregon
school756;	Pacific University
school757;	Walla Walla University
school758;	University of Houston
school759;	Texas A University
school760;	Patten University
school761;	New Mexico Highlands University
school762;	University of Portland
school763;	Pittsburg State University
school764;	University of Washington
school765;	Reed College
school766;	Southwestern Adventist University
school767;	St. Mary's University
school768;	San Jose State University
school769;	Sierra Nevada College
school770;	Scripps College
school771;	University of Montana
school772;	Seattle University
school773;	Southwestern Oklahoma State University
school774;	South Dakota State University
school775;	San Francisco State University
school776;	Santa Clara University
school777;	Wayland Baptist University
school778;	Southern Nazarene University
school779;	Sul Ross State University
school780;	Southern Oregon University
school781;	Stanford University
school782;	Stephen F. Austin State University
school783;	University of the Southwest
school784;	Texas State University
school785;	Southwestern University
school786;	Fashion Institute of Technology
school787;	Cornell University
school788;	University of Texas at Austin
school789;	Brooklyn College (City University of New York)
school790;	College of Saint Mary
school791;	York College
school792;	East Stroudsburg University of Pennsylvania
school793;	Gettysburg College
school794;	Lehigh University
school795;	Hartwick College
school796;	Gwynedd-Mercy College
school797;	College of the Holy Cross
school798;	King's College
school799;	Lafayette College
school800;	Elizabethtown College
school801;	Lancaster Bible College
school802;	Sonoma State University
school803;	Dominican University
school804;	Governors State University
school805;	Indiana Wesleyan University
school806;	Illinois State University
school807;	Erskine College
school808;	Iowa Wesleyan College
school809;	Loyola University Chicago
school810;	Kenyon College
school811;	Roosevelt University
school812;	John Carroll University
school813;	Crown College
school814;	Knox College
school815;	Indiana University Bloomington
school816;	Ripon College
school817;	Florida State University
school818;	University of Michigan - Dearborn
school819;	Missouri University of Science and Technology
school820;	Northern Illinois University
school821;	University of the Pacific
school822;	Colorado Christian University
school823;	Florida International University
school824;	Cameron University
school825;	William Carey University
school826;	McDaniel College
school827;	Fontbonne University
school828;	Wheeling Jesuit University
school829;	University of Missouri - Kansas City
school830;	Saint Mary-of-the-Woods College
school831;	Cornerstone University
school832;	Eastern University
school833;	Georgian Court University
school834;	New York City College of Technology
school835;	Hunter College
school836;	Monmouth College
school837;	Northern Michigan University
school838;	Greensboro College
school839;	Manhattan Christian College
school840;	Loyola University Maryland
school841;	Santa Fe University of Art and Design
school842;	California State University Fresno
school843;	Oklahoma Baptist University
school844;	Metropolitan State University of Denver
school845;	Marian University
school846;	Mount Mary University
school847;	Davis and Elkins College
school848;	Kent State University
school849;	Lawrence Technological University
school850;	Harvey Mudd College
school851;	Dordt College
school852;	Texas Tech University
school853;	University of Nebraska - Omaha
school854;	Oklahoma Panhandle State University
school855;	Mount Vernon Nazarene University
school856;	Southern Arkansas University
school857;	Southwestern Assemblies of God University
school858;	Memphis College of Art
school859;	University of Puget Sound
school860;	Dowling College
school861;	Xavier University of Louisiana
school862;	Master's College
school864;	Washburn University
school865;	New Jersey City University
school866;	University of San Diego
school867;	Black Hills State University
school868;	California State University Bakersfield
school869;	University of Texas at Tyler
school870;	Pacific Northwest College of Art
school871;	University of Houston - Downtown
school872;	University of Minnesota, Morris
school873;	Dickinson State University
school874;	University of Texas at San Antonio
school875;	Dominican University of California
school876;	Indiana University South Bend
school877;	Adams State University
school878;	Georgetown College
school879;	University of Texas Health Science Center at Houston
school880;	University of Louisville
school881;	University of the Incarnate Word
school882;	Florida Institute of Technology
school883;	Rose-Hulman Institute of Technology
school884;	Minneapolis College of Art and Design
school885;	Marshall University
school886;	Dominican College
school887;	College for Creative Studies
school888;	University of Central Oklahoma
school889;	La Sierra University
school890;	Fairmont State University
school891;	Franklin University
school892;	Wofford College
school893;	Newberry College
school895;	Davidson College
school896;	Shepherd University
school897;	Lewis-Clark State College
school898;	Mary Baldwin College
school899;	Marian University
school900;	Northwest University
school901;	Gardner-Webb University
school902;	University of Maryland Eastern Shore
school903;	California State University Northridge
school904;	Western Washington University
school905;	St. Cloud State University
school906;	Oklahoma Wesleyan University
school907;	Luther College
school908;	Cornish College of the Arts
school909;	Angelo State University
school910;	University of California, Riverside
school911;	University of Montana Western
school912;	Texas Wesleyan University
school913;	Texas A University - Galveston
school914;	University of Mobile
school915;	East Tennessee State University
school916;	University of California, Santa Cruz
school917;	Notre Dame de Namur University
